,repo_full_name,num_commits,num_contributors,age_months,start_analysis_date,end_analysis_date,last_commit_hash,num_stars,num_forks,iac_total_blocks,iac_total_depth,iac_total_loc,iac_total_nloc,iac_file_ratio,tf_file_ratio_percent,tf_file_count,total_file_count,monthly_commit_frequency
17,kubernetes/k8s.io,13008,597,94,2016-08-22T15:54:57-07:00,2024-05-31T19:03:17-07:00,15214763ea276ccfc63f5ab6c968c5233fb152fc,830.0,886.0,1020,11961,10478,1279,0.8885135135135135,0.2204391891891892,261,1184,136.92631578947368
18,mozilla/hubs-ops,1563,24,81,2017-09-26T17:53:57-07:00,2024-05-24T16:10:29-07:00,de4af7c11e35d2256a5c4d3fb9ca52d1b884b582,112.0,60.0,192,574,574,0,0.3547297297297297,0.2297297297297297,68,296,19.296296296296298
19,awslabs/data-on-eks,795,74,21,2022-09-25T05:50:05-07:00,2024-05-29T06:32:33-07:00,6331e964a4ec1f185cf17ecb2c32ec58ef5a2741,759.0,269.0,1175,20126,16086,4196,0.7448377581120944,0.3480825958702065,236,678,39.75
20,ministryofjustice/aws-root-account,1982,41,45,2020-09-23T11:01:50+01:00,2024-05-24T16:50:53+01:00,4fd41f7ea731d81138bb80514f2f3c5bea843811,80.0,17.0,743,8980,7959,1038,0.9808917197452228,0.961783439490446,151,157,44.04444444444445
21,pivotal-cf/terraforming-azure,206,56,92,2016-10-07T11:24:38-07:00,2024-02-26T10:25:12-05:00,2871d7b900bf624c80b88926cdc6d5c7a1ef71d7,34.0,66.0,359,2086,1957,129,1.0,0.8947368421052632,34,38,2.2888888888888888
22,infrablocks/terraform-aws-ecs-cluster,335,17,88,2017-02-13T11:43:10+00:00,2023-12-29T18:04:11+00:00,01187de1764a3a2ceec45cc8e59870860f7306af,51.0,50.0,182,1007,924,83,0.5588235294117647,0.4264705882352941,29,68,3.988095238095238
23,deckhouse/deckhouse,11961,171,81,2017-09-29T12:23:33+03:00,2024-06-01T05:50:46+03:00,1de957b9e4d2afa404af1035bfdce1d95f5e9272,1165.0,126.0,1543,11110,10446,671,0.4817973105936373,0.04296490652673,262,6098,147.66666666666666
24,zenml-io/mlstacks,455,22,24,2022-06-29T09:53:31+02:00,2024-04-02T18:20:36+02:00,cc1595317d0bdca10606c7f6adad1b92b389a3f9,254.0,35.0,1570,16162,14508,1678,0.8913934426229508,0.8545081967213115,417,488,21.666666666666668
25,ministryofjustice/modernisation-platform,10634,155,46,2020-08-05T14:32:30+01:00,2024-05-31T19:20:59+01:00,90a064f02ec571d7e4b68fb1c0a1bc95cae6f1a0,700.0,292.0,2626,29859,25769,4302,0.8476953907815631,0.843687374749499,842,998,231.17391304347825
26,cloudfoundry/bosh-bootloader,3203,148,101,2016-01-25T11:32:16-08:00,2024-05-20T00:26:56+00:00,370bb7160f37136ca500874d1c4cb50a6f0a5371,180.0,184.0,998,7329,6713,616,0.1081081081081081,0.0302066772655007,95,3145,31.712871287128717
27,google/go-cloud,2013,147,75,2018-03-21T16:08:23-07:00,2024-05-31T14:51:28-07:00,9cc772bfdea8581484fcf8eeacb7a9ad0f774ce7,9700.0,821.0,196,1212,1142,73,0.0601092896174863,0.0491803278688524,18,366,26.84
28,cattle-ops/terraform-aws-gitlab-runner,1084,142,78,2017-12-03T16:06:25+01:00,2024-05-30T09:55:08+02:00,a6a2caf7c730537f3257e52ae2cb077f9d5104b3,602.0,339.0,279,3133,2687,477,0.7704918032786885,0.7049180327868853,43,61,13.721518987341772
